run_name,script_version,date_time,fit_time,python_version,machine_learning_framework,framework_version,batch_size,learning_rate,lr_scheduler,lr_warmup,optimizer,epochs,nestrov,pretrained,model_name,dataset_name,random_seed,op_determinism,test_loss,test_accuracy
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706160059281986,1553,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,3664629611,True,0.3573057440262807,0.9155
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706162736606731,1548,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,29616477,True,0.3659292293500297,0.9103
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706165412115513,1548,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,2934400309,True,0.3580984767479233,0.9095
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706172047436507,1559,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,3663679676,True,0.36942402320572093,0.9129
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706174731102074,1561,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,2653170624,True,0.3359512860261941,0.9141
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706181418458029,1551,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,1717144972,True,0.36898871313167525,0.9094
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706184055479677,1553,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,3802925187,True,0.37271506876885135,0.9082
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706190734844583,1548,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,2928815995,True,0.3507902169529396,0.9164
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706193411361889,1562,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,2852914846,True,0.3271425947358337,0.9165
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706200059000770,1632,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,3989692623,True,0.3689157027232496,0.9128
ResNet20-cifar10_09-idun-A100-PyTorch-ngc2312,1.0.6-1.0.5,20240706160112606848,2275,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",PyTorch,2.2.0a0+81ea7a4,128,0.1,True,False,SGD,200,False,False,ResNet20,cifar10,1558099097,True,0.34464027308210543,0.9164
