date_time,model,dataset,horizon,seed,mse,mae
2024-05-01 02:46:42.989171,Autoformer,ETTh1,48,3664629611,0.43224803,0.4380947
2024-05-01 02:48:13.803559,Autoformer,ETTh1,48,29616477,0.4062776,0.4323908
2024-05-01 02:50:05.298562,Autoformer,ETTh1,48,2934400309,0.4062221,0.42473534
2024-05-01 02:51:35.925668,Autoformer,ETTh1,48,3663679676,0.41720885,0.4273892
2024-05-01 02:53:06.460123,Autoformer,ETTh1,48,2653170624,0.4309049,0.4476206
2024-05-01 02:54:37.158026,Autoformer,ETTh1,48,1717144972,0.4131195,0.43556637
2024-05-01 02:56:07.324560,Autoformer,ETTh1,48,3802925187,0.43768945,0.44886455
2024-05-01 02:57:56.656703,Autoformer,ETTh1,48,2928815995,0.4243902,0.43842542
2024-05-01 02:59:46.361873,Autoformer,ETTh1,48,2852914846,0.4168124,0.4311512
2024-05-01 03:01:16.370156,Autoformer,ETTh1,48,3989692623,0.41990733,0.43574643
2024-05-01 03:03:06.675214,Autoformer,ETTh1,48,1558099097,0.4044982,0.4335927
2024-05-01 03:04:36.997495,Autoformer,ETTh1,48,2229219544,0.40463313,0.42955938
2024-05-01 03:06:47.698485,Autoformer,ETTh1,48,1496073244,0.44171762,0.46062353
2024-05-01 03:08:19.497979,Autoformer,ETTh1,48,4100528942,0.42938697,0.451171
2024-05-01 03:09:50.437883,Autoformer,ETTh1,48,3105422517,0.41055304,0.43136856
2024-05-01 03:11:18.783902,Autoformer,ETTh1,48,2116593738,0.42015168,0.43770963
2024-05-01 03:13:09.304188,Autoformer,ETTh1,48,3203774568,0.42994076,0.4383067
2024-05-01 03:14:40.198362,Autoformer,ETTh1,48,26449180,0.39719602,0.42528832
2024-05-01 03:16:11.116974,Autoformer,ETTh1,48,2247932906,0.3887316,0.41576084
2024-05-01 03:17:40.603444,Autoformer,ETTh1,48,1345797628,0.37764782,0.41028392
2024-05-01 03:19:11.996252,Autoformer,ETTh1,48,1297055094,0.39563826,0.42427933
2024-05-01 03:21:02.578571,Autoformer,ETTh1,48,3388865413,0.42074877,0.44171688
2024-05-01 03:22:32.935107,Autoformer,ETTh1,48,3441103961,0.3896113,0.41804722
2024-05-01 03:24:23.406957,Autoformer,ETTh1,48,220129177,0.4276772,0.44070154
2024-05-01 03:27:33.507123,Autoformer,ETTh1,48,636800229,0.5402224,0.49407384
2024-05-01 03:29:23.338906,Autoformer,ETTh1,48,3340778380,0.43756148,0.44611973
2024-05-01 03:32:32.695748,Autoformer,ETTh1,48,328826589,0.47915253,0.46554875
2024-05-01 03:34:03.116528,Autoformer,ETTh1,48,2351080987,0.3934596,0.42392853
2024-05-01 03:35:33.145111,Autoformer,ETTh1,48,2940668278,0.3947152,0.42619795
2024-05-01 03:37:03.588038,Autoformer,ETTh1,48,1629467658,0.41766483,0.43476224
2024-05-01 03:38:58.378365,Autoformer,ETTh1,48,1374552628,0.40986842,0.43566325
2024-05-01 03:40:48.639607,Autoformer,ETTh1,48,2989496591,0.4078544,0.42815134
2024-05-01 03:42:58.369360,Autoformer,ETTh1,48,1304254337,0.42556933,0.43411937
2024-05-01 03:44:48.683486,Autoformer,ETTh1,48,1160869783,0.4230646,0.44770473
2024-05-01 03:46:18.737874,Autoformer,ETTh1,48,1031290362,0.40553853,0.43566924
2024-05-01 03:47:49.400944,Autoformer,ETTh1,48,2016501090,0.39987412,0.42090702
2024-05-01 03:49:19.692689,Autoformer,ETTh1,48,1419135793,0.42494687,0.45210892
2024-05-01 03:51:10.649964,Autoformer,ETTh1,48,328135459,0.41304827,0.42322123
2024-05-01 03:53:21.290139,Autoformer,ETTh1,48,725062165,0.43189394,0.45156747
2024-05-01 03:54:51.622977,Autoformer,ETTh1,48,698501779,0.4279828,0.43596065
2024-05-01 03:56:21.141954,Autoformer,ETTh1,48,2916655170,0.41166502,0.43720424
2024-05-01 03:57:51.759716,Autoformer,ETTh1,48,3309567839,0.42481676,0.4354405
2024-05-01 04:00:01.277851,Autoformer,ETTh1,48,4282113189,0.43314072,0.44418624
2024-05-01 04:01:52.869332,Autoformer,ETTh1,48,293153299,0.42318565,0.44459298
2024-05-01 04:03:23.132622,Autoformer,ETTh1,48,2583227991,0.40205815,0.43149418
2024-05-01 04:04:53.961650,Autoformer,ETTh1,48,2066139778,0.46226156,0.44683436
2024-05-01 04:07:03.987690,Autoformer,ETTh1,48,3453933603,0.50549716,0.48244503
2024-05-01 04:08:33.107324,Autoformer,ETTh1,48,3404249524,0.44251817,0.45260903
2024-05-01 04:10:23.157537,Autoformer,ETTh1,48,3687309285,0.40302822,0.4299307
2024-05-01 04:11:52.740546,Autoformer,ETTh1,48,713197558,0.4121326,0.4396078
2024-05-01 04:13:41.403634,Autoformer,ETTh1,48,2549351489,0.4350311,0.44655946
2024-05-01 04:15:11.082734,Autoformer,ETTh1,48,2409554458,0.4103239,0.4310355
2024-05-01 04:17:21.615218,Autoformer,ETTh1,48,1459005201,0.44833517,0.4601705
2024-05-01 04:18:52.142466,Autoformer,ETTh1,48,1051226056,0.3866539,0.42758244
2024-05-01 04:20:21.800621,Autoformer,ETTh1,48,4119878508,0.41606593,0.44398993
2024-05-01 04:21:52.522821,Autoformer,ETTh1,48,4291492387,0.3874932,0.42280564
2024-05-01 04:23:22.262053,Autoformer,ETTh1,48,3140594418,0.3928426,0.4250452
2024-05-01 04:25:13.170375,Autoformer,ETTh1,48,777109714,0.42034173,0.4369133
2024-05-01 04:27:02.904246,Autoformer,ETTh1,48,1589216892,0.42153803,0.43703735
2024-05-01 04:28:32.807029,Autoformer,ETTh1,48,296922354,0.39007464,0.418125
2024-05-01 04:30:04.175137,Autoformer,ETTh1,48,1127772217,0.4212539,0.432534
2024-05-01 04:31:54.813326,Autoformer,ETTh1,48,2586440573,0.43909663,0.4510155
2024-05-01 04:33:44.769153,Autoformer,ETTh1,48,2372266162,0.46103963,0.45760605
2024-05-01 04:35:15.295597,Autoformer,ETTh1,48,200427186,0.40492,0.4316163
2024-05-01 04:36:45.455981,Autoformer,ETTh1,48,3665818909,0.41337466,0.42662716
2024-05-01 04:38:15.779802,Autoformer,ETTh1,48,1051311406,0.40803352,0.43385187
2024-05-01 04:39:45.316424,Autoformer,ETTh1,48,4194161626,0.43742085,0.4472402
2024-05-01 04:41:15.230568,Autoformer,ETTh1,48,2901435033,0.40945706,0.4291762
2024-05-01 04:43:06.434492,Autoformer,ETTh1,48,1027683409,0.5071783,0.4770829
2024-05-01 04:44:36.741371,Autoformer,ETTh1,48,2592753973,0.39874095,0.42389977
2024-05-01 04:46:05.920908,Autoformer,ETTh1,48,294477085,0.39704525,0.42579123
2024-05-01 04:47:55.998590,Autoformer,ETTh1,48,55673650,0.4189515,0.43142912
2024-05-01 04:49:46.370820,Autoformer,ETTh1,48,3226759639,0.44303066,0.444669
2024-05-01 04:51:15.789615,Autoformer,ETTh1,48,3130688870,0.3847925,0.42268983
2024-05-01 04:52:45.099131,Autoformer,ETTh1,48,3126186108,0.39510173,0.42266026
2024-05-01 04:54:54.666199,Autoformer,ETTh1,48,3598909707,0.39428768,0.4264792
2024-05-01 04:56:24.053083,Autoformer,ETTh1,48,425796106,0.43815973,0.4439336
2024-05-01 04:57:53.769769,Autoformer,ETTh1,48,3442116543,0.40692854,0.4375953
2024-05-01 04:59:42.776310,Autoformer,ETTh1,48,2375403279,0.43445116,0.44381216
2024-05-01 05:01:11.852539,Autoformer,ETTh1,48,2324886708,0.39729214,0.42460445
2024-05-01 05:02:41.696895,Autoformer,ETTh1,48,3564953262,0.3875232,0.42349294
2024-05-01 05:04:29.734268,Autoformer,ETTh1,48,1214632149,0.45414272,0.4547417
2024-05-01 05:05:58.742102,Autoformer,ETTh1,48,162323494,0.38700795,0.41678342
2024-05-01 05:07:28.796853,Autoformer,ETTh1,48,1422274897,0.41288054,0.432488
2024-05-01 05:09:38.784284,Autoformer,ETTh1,48,4214847305,0.49738106,0.47202355
2024-05-01 05:11:07.070751,Autoformer,ETTh1,48,4289667837,0.4176808,0.4323694
2024-05-01 05:12:36.616795,Autoformer,ETTh1,48,3877990105,0.4098099,0.43231523
2024-05-01 05:14:25.773750,Autoformer,ETTh1,48,775343348,0.4445075,0.4514341
2024-05-01 05:15:54.665321,Autoformer,ETTh1,48,1572370784,0.3987198,0.42432025
2024-05-01 05:17:24.084837,Autoformer,ETTh1,48,2993632363,0.4056513,0.4348075
2024-05-01 05:19:33.269788,Autoformer,ETTh1,48,2147810558,0.4526794,0.4557834
2024-05-01 05:21:42.697628,Autoformer,ETTh1,48,3359328088,0.4262309,0.44572556
2024-05-01 05:23:12.275662,Autoformer,ETTh1,48,1664423657,0.39690667,0.42625636
2024-05-01 05:25:00.475649,Autoformer,ETTh1,48,516478726,0.4031834,0.42710614
2024-05-01 05:26:49.537146,Autoformer,ETTh1,48,4283274141,0.45338,0.45602223
2024-05-01 05:28:18.039785,Autoformer,ETTh1,48,3472115790,0.38608536,0.41443506
2024-05-01 05:30:06.225810,Autoformer,ETTh1,48,1973874623,0.4500834,0.45600832
2024-05-01 05:32:14.745466,Autoformer,ETTh1,48,3236139543,0.43985945,0.45125568
2024-05-01 05:34:04.100437,Autoformer,ETTh1,48,245344786,0.4152267,0.4409561
2024-05-01 05:36:13.328907,Autoformer,ETTh1,48,323245623,0.41450584,0.43368798
