date_time,model,dataset,sequence,horizon,seed,mse,mae
2024-06-29 02:14:19.848723,NLinear,ETTm1,96,192,3664629611,0.39520064,0.39578158
2024-06-29 02:16:59.078278,NLinear,ETTm1,96,192,29616477,0.39357507,0.39430517
2024-06-29 02:19:37.044360,NLinear,ETTm1,96,192,2934400309,0.3959578,0.39593527
2024-06-29 02:23:35.538763,NLinear,ETTm1,96,192,3663679676,0.39418265,0.3949037
2024-06-29 02:26:33.732637,NLinear,ETTm1,96,192,2653170624,0.39367533,0.39450318
2024-06-29 02:30:34.654638,NLinear,ETTm1,96,192,1717144972,0.3944148,0.39509687
2024-06-29 02:33:32.279420,NLinear,ETTm1,96,192,3802925187,0.39547017,0.3956649
2024-06-29 02:37:30.809191,NLinear,ETTm1,96,192,2928815995,0.39453483,0.39520818
2024-06-29 02:40:08.709789,NLinear,ETTm1,96,192,2852914846,0.39382288,0.39450908
2024-06-29 02:43:08.627769,NLinear,ETTm1,96,192,3989692623,0.39505762,0.39524862
2024-06-29 02:46:25.651035,NLinear,ETTm1,96,192,1558099097,0.3938577,0.39447448
2024-06-29 02:50:01.848179,NLinear,ETTm1,96,192,2229219544,0.39427075,0.3949136
2024-06-29 02:52:43.546163,NLinear,ETTm1,96,192,1496073244,0.3942456,0.39501897
2024-06-29 02:56:16.924087,NLinear,ETTm1,96,192,4100528942,0.3943046,0.3949462
2024-06-29 03:00:14.690063,NLinear,ETTm1,96,192,3105422517,0.3944085,0.39508757
2024-06-29 03:02:30.323626,NLinear,ETTm1,96,192,2116593738,0.39741117,0.39737764
2024-06-29 03:05:28.734128,NLinear,ETTm1,96,192,3203774568,0.39561212,0.3959876
2024-06-29 03:08:46.066198,NLinear,ETTm1,96,192,26449180,0.3935925,0.39456996
2024-06-29 03:12:42.808472,NLinear,ETTm1,96,192,2247932906,0.39441502,0.39507034
2024-06-29 03:16:00.600251,NLinear,ETTm1,96,192,1345797628,0.39436513,0.39494717
