date_time,model,dataset,sequence,horizon,seed,mse,mae
2024-06-21 21:15:35.215624,iTransformer,ETTh1,96,96,3664629611,0.38842613,0.40508988
2024-06-21 21:18:45.930541,iTransformer,ETTh1,96,96,29616477,0.38656467,0.4045954
2024-06-21 21:22:15.930360,iTransformer,ETTh1,96,96,2934400309,0.38573653,0.40422568
2024-06-21 21:25:10.558110,iTransformer,ETTh1,96,96,3663679676,0.38671458,0.4041266
2024-06-21 21:28:40.288147,iTransformer,ETTh1,96,96,2653170624,0.3898926,0.40677026
2024-06-21 21:31:14.767704,iTransformer,ETTh1,96,96,1717144972,0.38760036,0.40519154
2024-06-21 21:34:46.057917,iTransformer,ETTh1,96,96,3802925187,0.38714847,0.40466797
2024-06-21 21:38:18.792198,iTransformer,ETTh1,96,96,2928815995,0.38595676,0.40410358
2024-06-21 21:41:12.792204,iTransformer,ETTh1,96,96,2852914846,0.38561848,0.40366605
2024-06-21 21:45:02.043516,iTransformer,ETTh1,96,96,3989692623,0.3851925,0.40349606
2024-06-21 21:47:54.946358,iTransformer,ETTh1,96,96,1558099097,0.38797736,0.4053029
2024-06-21 21:50:48.375544,iTransformer,ETTh1,96,96,2229219544,0.38661578,0.40416852
2024-06-21 21:53:42.627396,iTransformer,ETTh1,96,96,1496073244,0.388454,0.405555
2024-06-21 21:56:53.659830,iTransformer,ETTh1,96,96,4100528942,0.38563916,0.40433115
2024-06-21 21:59:48.071480,iTransformer,ETTh1,96,96,3105422517,0.38707545,0.40512726
2024-06-21 22:03:01.912882,iTransformer,ETTh1,96,96,2116593738,0.38606644,0.4037904
2024-06-21 22:06:32.886163,iTransformer,ETTh1,96,96,3203774568,0.3869473,0.4049588
2024-06-21 22:09:25.784597,iTransformer,ETTh1,96,96,26449180,0.3853072,0.40421993
2024-06-21 22:12:37.785555,iTransformer,ETTh1,96,96,2247932906,0.3883509,0.405736
2024-06-21 22:16:26.884834,iTransformer,ETTh1,96,96,1345797628,0.38967326,0.40693066
2024-06-21 22:19:39.748560,iTransformer,ETTh1,96,96,1297055094,0.39023718,0.40610072
2024-06-21 22:23:10.339061,iTransformer,ETTh1,96,96,3388865413,0.38612318,0.4043372
2024-06-21 22:26:21.939518,iTransformer,ETTh1,96,96,3441103961,0.3850527,0.40329856
