date_time,model,dataset,sequence,horizon,seed,mse,mae
2024-06-26 19:16:33.108451,iTransformer,custom,96,192,3664629611,0.41153884,0.27626577
2024-06-26 19:37:12.139717,iTransformer,custom,96,192,29616477,0.41392612,0.27746317
2024-06-26 19:57:46.510464,iTransformer,custom,96,192,2934400309,0.41112137,0.27663982
2024-06-26 20:18:32.399455,iTransformer,custom,96,192,3663679676,0.4125195,0.2767241
2024-06-26 20:39:10.111523,iTransformer,custom,96,192,2653170624,0.41309962,0.2775571
2024-06-26 21:00:16.217381,iTransformer,custom,96,192,1717144972,0.41177797,0.27669972
2024-06-26 21:20:45.751407,iTransformer,custom,96,192,3802925187,0.4135388,0.27779105
2024-06-26 21:41:12.991136,iTransformer,custom,96,192,2928815995,0.41180408,0.2769746
2024-06-26 22:01:43.068980,iTransformer,custom,96,192,2852914846,0.4115917,0.27644533
2024-06-26 22:22:14.088616,iTransformer,custom,96,192,3989692623,0.41226044,0.27676105
2024-06-26 22:42:27.586760,iTransformer,custom,96,192,1558099097,0.41332102,0.27730092
2024-06-26 23:03:11.566959,iTransformer,custom,96,192,2229219544,0.41311604,0.27714145
2024-06-26 23:23:34.960239,iTransformer,custom,96,192,1496073244,0.4112842,0.2766477
2024-06-26 23:44:14.861584,iTransformer,custom,96,192,4100528942,0.41285345,0.27739042
2024-06-27 00:04:53.086654,iTransformer,custom,96,192,3105422517,0.41308418,0.27716464
2024-06-27 00:25:43.949164,iTransformer,custom,96,192,2116593738,0.413635,0.27759835
2024-06-27 00:46:27.867732,iTransformer,custom,96,192,3203774568,0.41241717,0.27690277
2024-06-27 01:06:59.011364,iTransformer,custom,96,192,26449180,0.4122986,0.27660865
2024-06-27 01:27:24.934528,iTransformer,custom,96,192,2247932906,0.41121006,0.2762033
2024-06-27 01:48:15.154014,iTransformer,custom,96,192,1345797628,0.41280884,0.27698725
2024-06-27 02:08:36.743496,iTransformer,custom,96,192,1297055094,0.411845,0.27671725
2024-06-27 02:29:03.352142,iTransformer,custom,96,192,3388865413,0.41345268,0.27723557
2024-06-27 02:49:33.534965,iTransformer,custom,96,192,3441103961,0.41143996,0.2766071
2024-06-27 03:10:04.047838,iTransformer,custom,96,192,220129177,0.41304976,0.27766073
2024-06-27 03:30:29.956880,iTransformer,custom,96,192,636800229,0.4131073,0.27773285
2024-06-27 03:51:01.409151,iTransformer,custom,96,192,3340778380,0.41272402,0.277596
2024-06-27 04:11:41.470218,iTransformer,custom,96,192,328826589,0.41235715,0.2773795
2024-06-27 04:32:16.679967,iTransformer,custom,96,192,2351080987,0.4136535,0.27778363
2024-06-27 04:53:10.020586,iTransformer,custom,96,192,2940668278,0.41383168,0.27801389
2024-06-27 05:13:49.451184,iTransformer,custom,96,192,1629467658,0.41212714,0.27675706
2024-06-27 05:34:39.867739,iTransformer,custom,96,192,1374552628,0.41205716,0.27691224
2024-06-27 05:55:20.488283,iTransformer,custom,96,192,2989496591,0.41259035,0.27731094
2024-06-27 06:16:51.709149,iTransformer,custom,96,192,1304254337,0.4128691,0.27660176
2024-06-27 06:38:18.640878,iTransformer,custom,96,192,1160869783,0.4132062,0.27731574
2024-06-27 06:59:15.984037,iTransformer,custom,96,192,1031290362,0.41203216,0.2772061
2024-06-27 07:20:12.770777,iTransformer,custom,96,192,2016501090,0.41240084,0.2768206
2024-06-27 07:41:05.191050,iTransformer,custom,96,192,1419135793,0.412594,0.2768557
2024-06-27 08:01:48.899548,iTransformer,custom,96,192,328135459,0.41214293,0.27693245
2024-06-27 08:22:25.722201,iTransformer,custom,96,192,725062165,0.41296625,0.2781176
2024-06-27 08:43:37.841377,iTransformer,custom,96,192,698501779,0.41132304,0.2767156
2024-06-27 09:04:26.029076,iTransformer,custom,96,192,2916655170,0.4121021,0.2763254
2024-06-27 09:25:17.545657,iTransformer,custom,96,192,3309567839,0.41283977,0.2771765
2024-06-27 09:46:31.250662,iTransformer,custom,96,192,4282113189,0.4125664,0.2775515
2024-06-27 10:07:46.825188,iTransformer,custom,96,192,293153299,0.41149488,0.27657086
2024-06-27 10:29:28.961530,iTransformer,custom,96,192,2583227991,0.41129598,0.27669105
2024-06-27 10:51:32.524268,iTransformer,custom,96,192,2066139778,0.4128042,0.27731934
2024-06-27 11:13:10.542936,iTransformer,custom,96,192,3453933603,0.41341308,0.27755427
2024-06-27 11:34:11.235872,iTransformer,custom,96,192,3404249524,0.41300127,0.27705842
2024-06-27 11:55:29.808074,iTransformer,custom,96,192,3687309285,0.41308135,0.277464
2024-06-27 12:16:50.104906,iTransformer,custom,96,192,713197558,0.41187215,0.2772681
2024-06-27 12:38:05.512625,iTransformer,custom,96,192,2549351489,0.41233677,0.27640423
2024-06-27 12:59:21.416767,iTransformer,custom,96,192,2409554458,0.41224942,0.27728984
2024-06-27 13:20:50.445832,iTransformer,custom,96,192,1459005201,0.41219583,0.27735463
2024-06-27 13:42:26.381286,iTransformer,custom,96,192,1051226056,0.41317573,0.27763188
2024-06-27 14:04:03.928366,iTransformer,custom,96,192,4119878508,0.41269895,0.2777394
2024-06-27 14:25:53.680102,iTransformer,custom,96,192,4291492387,0.41278878,0.2775541
2024-06-27 14:47:27.445688,iTransformer,custom,96,192,3140594418,0.41242748,0.27688614
2024-06-27 15:09:20.722738,iTransformer,custom,96,192,777109714,0.41220996,0.27708635
