date_time,model,dataset,sequence,horizon,seed,mse,mae
2024-06-26 23:21:00.180099,iTransformer,custom,96,192,3664629611,0.22272685,0.25623372
2024-06-26 23:29:11.741571,iTransformer,custom,96,192,29616477,0.22823478,0.2590868
2024-06-26 23:38:28.869881,iTransformer,custom,96,192,2934400309,0.22708869,0.25967488
2024-06-26 23:48:55.569621,iTransformer,custom,96,192,3663679676,0.22448952,0.25730148
2024-06-27 00:00:37.744161,iTransformer,custom,96,192,2653170624,0.2228718,0.25617182
2024-06-27 00:12:26.132271,iTransformer,custom,96,192,1717144972,0.22544731,0.25854263
2024-06-27 00:21:48.738178,iTransformer,custom,96,192,3802925187,0.22326167,0.25662926
2024-06-27 00:32:33.267415,iTransformer,custom,96,192,2928815995,0.22280227,0.25648543
2024-06-27 00:42:04.698110,iTransformer,custom,96,192,2852914846,0.2228657,0.25521255
2024-06-27 00:51:24.269041,iTransformer,custom,96,192,3989692623,0.2226226,0.25540882
2024-06-27 01:01:49.996819,iTransformer,custom,96,192,1558099097,0.225428,0.2592032
2024-06-27 01:11:06.407160,iTransformer,custom,96,192,2229219544,0.22604685,0.2590348
2024-06-27 01:19:14.650940,iTransformer,custom,96,192,1496073244,0.22751962,0.26028466
2024-06-27 01:28:37.903131,iTransformer,custom,96,192,4100528942,0.22583202,0.25863507
2024-06-27 01:38:10.622013,iTransformer,custom,96,192,3105422517,0.2248278,0.25747886
2024-06-27 01:46:37.296662,iTransformer,custom,96,192,2116593738,0.22789833,0.26069102
2024-06-27 01:57:08.444800,iTransformer,custom,96,192,3203774568,0.22304124,0.25634512
2024-06-27 02:05:28.881540,iTransformer,custom,96,192,26449180,0.22673897,0.25930753
2024-06-27 02:15:12.385500,iTransformer,custom,96,192,2247932906,0.22563261,0.2586504
2024-06-27 02:24:38.783404,iTransformer,custom,96,192,1345797628,0.22699833,0.2590275
2024-06-27 02:33:52.253844,iTransformer,custom,96,192,1297055094,0.22509706,0.25866225
2024-06-27 02:44:21.912865,iTransformer,custom,96,192,3388865413,0.2231618,0.25661662
2024-06-27 02:53:41.637885,iTransformer,custom,96,192,3441103961,0.22431481,0.25786275
2024-06-27 03:03:02.622779,iTransformer,custom,96,192,220129177,0.22482471,0.2576968
2024-06-27 03:13:35.494266,iTransformer,custom,96,192,636800229,0.22401501,0.25702193
2024-06-27 03:23:01.493171,iTransformer,custom,96,192,3340778380,0.22410801,0.25662884
2024-06-27 03:31:15.158166,iTransformer,custom,96,192,328826589,0.22732158,0.26062188
2024-06-27 03:39:34.348290,iTransformer,custom,96,192,2351080987,0.22577055,0.25927722
2024-06-27 03:50:11.925720,iTransformer,custom,96,192,2940668278,0.22438005,0.2576594
2024-06-27 04:00:53.010011,iTransformer,custom,96,192,1629467658,0.22492677,0.25699088
2024-06-27 04:10:18.955014,iTransformer,custom,96,192,1374552628,0.22460037,0.2576152
2024-06-27 04:23:04.180110,iTransformer,custom,96,192,2989496591,0.22596219,0.25886345
2024-06-27 04:34:41.532888,iTransformer,custom,96,192,1304254337,0.22396016,0.25686035
2024-06-27 04:45:21.106750,iTransformer,custom,96,192,1160869783,0.2236434,0.2568162
2024-06-27 04:57:12.000783,iTransformer,custom,96,192,1031290362,0.22308138,0.25663224
2024-06-27 05:06:44.441783,iTransformer,custom,96,192,2016501090,0.2246331,0.25835976
2024-06-27 05:17:20.102119,iTransformer,custom,96,192,1419135793,0.22494967,0.25840265
2024-06-27 05:26:42.392993,iTransformer,custom,96,192,328135459,0.22501546,0.2578826
2024-06-27 05:36:04.608462,iTransformer,custom,96,192,725062165,0.22546263,0.25809515
2024-06-27 05:46:47.300673,iTransformer,custom,96,192,698501779,0.22299834,0.25589338
2024-06-27 05:56:08.902752,iTransformer,custom,96,192,2916655170,0.22595295,0.2576592
2024-06-27 06:04:20.191171,iTransformer,custom,96,192,3309567839,0.22679101,0.2589512
2024-06-27 06:16:06.230539,iTransformer,custom,96,192,4282113189,0.22599442,0.25909653
2024-06-27 06:25:27.929456,iTransformer,custom,96,192,293153299,0.22442949,0.25672677
2024-06-27 06:36:04.548893,iTransformer,custom,96,192,2583227991,0.22513063,0.2583555
2024-06-27 06:47:52.390622,iTransformer,custom,96,192,2066139778,0.22451252,0.25679547
2024-06-27 06:56:01.295720,iTransformer,custom,96,192,3453933603,0.22562326,0.25775406
2024-06-27 07:07:47.726384,iTransformer,custom,96,192,3404249524,0.22319183,0.25644752
2024-06-27 07:16:02.366984,iTransformer,custom,96,192,3687309285,0.22859856,0.2618743
2024-06-27 07:26:35.468231,iTransformer,custom,96,192,713197558,0.22377369,0.2568103
2024-06-27 07:38:28.614648,iTransformer,custom,96,192,2549351489,0.22476259,0.2577417
2024-06-27 07:47:53.850451,iTransformer,custom,96,192,2409554458,0.22435887,0.25780365
2024-06-27 07:57:15.448567,iTransformer,custom,96,192,1459005201,0.22526133,0.25851464
2024-06-27 08:06:35.035382,iTransformer,custom,96,192,1051226056,0.22519611,0.25806123
2024-06-27 08:15:55.243171,iTransformer,custom,96,192,4119878508,0.22387221,0.25676817
2024-06-27 08:26:33.671529,iTransformer,custom,96,192,4291492387,0.22612599,0.2587529
2024-06-27 08:35:53.953432,iTransformer,custom,96,192,3140594418,0.22534789,0.25781265
2024-06-27 08:46:34.211354,iTransformer,custom,96,192,777109714,0.22378357,0.2562899
2024-06-27 08:55:49.101233,iTransformer,custom,96,192,1589216892,0.22578257,0.25792086
2024-06-27 09:06:23.539243,iTransformer,custom,96,192,296922354,0.22386023,0.2573857
2024-06-27 09:16:53.135265,iTransformer,custom,96,192,1127772217,0.22397813,0.25701976
2024-06-27 09:26:14.499673,iTransformer,custom,96,192,2586440573,0.22422355,0.2572706
2024-06-27 09:37:59.879242,iTransformer,custom,96,192,2372266162,0.22452675,0.25799817
2024-06-27 09:47:20.770644,iTransformer,custom,96,192,200427186,0.22695066,0.25903472
2024-06-27 10:01:30.356467,iTransformer,custom,96,192,3665818909,0.22538547,0.25788325
2024-06-27 10:12:00.433680,iTransformer,custom,96,192,1051311406,0.22131872,0.25524193
2024-06-27 10:21:10.869653,iTransformer,custom,96,192,4194161626,0.22494683,0.2578936
2024-06-27 10:31:44.342132,iTransformer,custom,96,192,2901435033,0.22283152,0.25737834
2024-06-27 10:42:10.880100,iTransformer,custom,96,192,1027683409,0.22402278,0.25712064
2024-06-27 10:56:03.201243,iTransformer,custom,96,192,2592753973,0.22344334,0.25720862
2024-06-27 11:04:05.167677,iTransformer,custom,96,192,294477085,0.22686625,0.25895858
2024-06-27 11:12:13.309606,iTransformer,custom,96,192,55673650,0.22552799,0.25845385
2024-06-27 11:24:13.490583,iTransformer,custom,96,192,3226759639,0.22475655,0.2581077
2024-06-27 11:34:41.941985,iTransformer,custom,96,192,3130688870,0.22252622,0.25647077
2024-06-27 11:42:45.036673,iTransformer,custom,96,192,3126186108,0.22492753,0.25762472
2024-06-27 11:54:15.165559,iTransformer,custom,96,192,3598909707,0.22150564,0.25580242
2024-06-27 12:04:38.941027,iTransformer,custom,96,192,425796106,0.22480182,0.25782993
2024-06-27 12:13:52.088800,iTransformer,custom,96,192,3442116543,0.22409213,0.2581424
2024-06-27 12:23:06.753013,iTransformer,custom,96,192,2375403279,0.22706045,0.25871527
2024-06-27 12:33:29.376347,iTransformer,custom,96,192,2324886708,0.22460258,0.25689837
2024-06-27 12:43:56.280064,iTransformer,custom,96,192,3564953262,0.2247343,0.25816536
2024-06-27 12:55:30.397464,iTransformer,custom,96,192,1214632149,0.22224684,0.25686857
2024-06-27 13:06:57.951291,iTransformer,custom,96,192,162323494,0.22228341,0.25551134
2024-06-27 13:20:49.881965,iTransformer,custom,96,192,1422274897,0.22454369,0.25725877
2024-06-27 13:30:09.440891,iTransformer,custom,96,192,4214847305,0.22388615,0.25725114
2024-06-27 13:39:24.059807,iTransformer,custom,96,192,4289667837,0.22849661,0.2609664
2024-06-27 13:48:45.454290,iTransformer,custom,96,192,3877990105,0.22464895,0.2570319
2024-06-27 13:59:08.691637,iTransformer,custom,96,192,775343348,0.22559616,0.25859305
2024-06-27 14:09:36.354823,iTransformer,custom,96,192,1572370784,0.22463726,0.25750402
2024-06-27 14:21:08.214571,iTransformer,custom,96,192,2993632363,0.22522517,0.25780192
2024-06-27 14:30:23.675577,iTransformer,custom,96,192,2147810558,0.22520253,0.25851306
2024-06-27 14:40:51.201022,iTransformer,custom,96,192,3359328088,0.22204706,0.2557882
2024-06-27 14:48:57.391084,iTransformer,custom,96,192,1664423657,0.2256619,0.258676
2024-06-27 14:58:11.111045,iTransformer,custom,96,192,516478726,0.22533701,0.25870624
2024-06-27 15:08:38.480365,iTransformer,custom,96,192,4283274141,0.22192268,0.25615427
2024-06-27 15:17:50.739119,iTransformer,custom,96,192,3472115790,0.22540414,0.25831053
2024-06-27 15:27:26.941672,iTransformer,custom,96,192,1973874623,0.22619525,0.25810954
2024-06-27 15:36:44.436750,iTransformer,custom,96,192,3236139543,0.22540012,0.2574141
2024-06-27 15:45:59.185445,iTransformer,custom,96,192,245344786,0.22642617,0.25905254
2024-06-27 15:57:28.523502,iTransformer,custom,96,192,323245623,0.22449078,0.2569823
